Location,Count
http://about.me/miffsc,2
"Hoover, Alabama",1
Barneys New York ,1
"Ocean View, Hawaii",2
"Boston, Ma",1
"40.229994,-74.893221",1
The road to glory,1
"Levittown, Pa",1
"Virginia Beach, Virginia",2
www.bucknellbison.com,1
"This Ain't Chicago, Tennessee",1
Brooklyn ,1
"Southampton, UK",2
"Mabel, MN",1
Sapere Aude,1
"Wisconsin, Arizona and...",1
"oakland , ca",1
connecticut,1
Where ever God puts me,1
"cincinnati, ohio",1
33027,2
Rhos-on-Sea,1
Flyover country,3
GLOBAL CITIZEN,4
"Asheville, NC",22
"Kokomo, IN",2
"CT, USA",9
"West Des Moines, IA",1
Arizona,5
"Downtown Phoenix (#dtphx), AZ",1
"ÜT: 43.106744,-76.14949",1
dc ,1
"Miami, Fla",1
"charlotte, north carolina",1
Cleveland/Sandusky,2
NYC/Nashville,2
the peez,1
Nashville/NYC,1
Burbank,2
"ÜT: 36.149602,-86.779693",2
"Falls Church, VA",2
"Wexford, PA",1
"Pittsford, Vermont",2
VA ,1
"Sequim, WA",2
"phoenix, AZ",2
Delaware,8
"Nürnberg, Germany ",2
Chesapeake Bay watershed,2
Nairobi,2
nashville via minnesota,1
Raxacoricofallapatorius,5
Russia,1
Los Angeles by way of Philly,2
somewhere only we know,1
"Rialto, Ca",1
"Crystal Lake, IL",2
Been inside your mum since '92,2
"Ptown, VA",1
"Rhode Island-Concord, NC-DMV",1
"neenah, wi",1
DC - SF - NC - MA,1
McKinney TX,22
"Stamford, Ct",9
Orlando ,2
"Independence, MO",2
San Francisco & Scottsdale,1
"Philadelphia, USA",1
"Callahan, FL",2
philadelphia,1
South Carolina ,3
Stratosphere ,1
Jamaica,5
"Atlanta, Ga",1
Terrapin Station,2
"ÜT: 41.5333,-93.62944",3
"ÜT: 38.955822,-94.728202",2
Somewhere in the Milky Way,1
"New York, London, Tokyo",1
"Washington, DC via Boston",4
Arlington Va,1
London ,5
tennessee,2
"iPhone: 38.851982,-77.185593",1
this must be the place,1
"Grand Forks, ND",1
"NYC, NY",1
Sunshine State,2
L.A.,1
"Berwyn, PA",1
PHL | SFO | $x,1
Indianapolis & environs,2
"42.635976,-71.164046",5
"Fairfield, Connecticut",1
"Boston,MA",2
West Palm,5
"QueenCity, USA ",4
"Washington, DC, USA",2
Dixie State College,1
"Dublin, Ireland",3
Nantucket,6
Flying Giraffe Travel,5
"Wendell, NC",1
"Haverford, PA & Wilton Manors ",7
GERMANY,3
DC via Louisiana,1
Chicago Area,1
NJ 973 | NC 910,1
"ÜT: 39.855018,-75.360949",2
The South,1
Williamson West Virginia,1
"11 W Boston St Chandler, AZ",1
Caywood,1
"Seat 3A, Always ",1
World Traveler ,1
"Farmington Hills, MI",2
Sydney boy in Sheffield,1
"On my phone, USA",5
"Austin,TX",1
"Silver Spring, MD",1
"Centreville, VA",1
"Ottawa, Ontario, The Universe",1
"ÜT: 41.233943,-74.3966664",3
"Naples, FL",1
Shenanigan Central,1
"Madrid, España",1
"Phoenix, AZ, USA",2
"Hershey, PA ",1
new yorker stranded in PA,4
Paradise Falls,1
" Mexico, D.F.",3
"Monterey County, CA",11
The alternate universe,1
"Bristol, CT",1
Pune,1
Home sweet Hollywood Home,2
"Waynesboro, VA",2
"Cary, NC",4
"National, based in Texas",2
"Mount Holly, NC, USA",1
North Carolina/LosAngeles,1
Dallas/Fort Worth,1
"County of Kings, NYC",1
"East Coast, US",1
U.S.,2
Iowa CIty,1
Twittersphere,1
"New York, NY | Brooklyn",1
Tacoma Washington,3
Central Pennsylvania,1
Jawjah,1
"ÜT: 39.041902,-77.099677",1
Anoka MN,2
 USA,1
757,1
Here. There. Everywhere. ,3
Scruffyville,5
"West London, UK",2
wonderland,1
Loch nEathach Co Aontroim,1
"40.0587, -75.3659",3
New York/N. Carolina,1
where ever i lay my hat,1
"Merano, Italy ",1
I'm a 917 girl.,1
"Born in NY, living in PA ",1
New York & Worldwide,2
The District of Columbia,1
NY/SoCal ,1
"Scott Depot, WV",1
Murfreesboro- Memphis  ,2
chu,1
"dublin, ohio",1
"Clemson, SC",1
"Redmond, WA",5
Sistine Chapel ,1
Here,1
"Syracuse, New York",1
"Kansas, USA",1
"san jose , ca",1
Connecticut/Vegas,1
Proud to say I'm from Dundee,1
"Lawrence, MA",5
"Lowell, Ma",2
"SBA, BOS, JFK, EWR, SFO, LHR",2
"ÜT: 42.798909,-71.542817",3
#Supergabe - Central Maine,1
"Raleigh,NC",3
"Winston Salem, NC",1
"Mesa, AZ
",1
The Rugby Universe ,1
"Boston, MA | San Jose, CA",2
"Birmingham, AL
",1
Made in China,1
Right where I should be!,1
"okinawa, japan",5
Planet Earth,4
"Fort Wayne, IN",1
"Palm Springs, CA",2
"Miami,Fl",2
"Fernandina Beach, FL",2
"Charlottesville, VA.",2
CT to Queens ,4
"London, ON'",4
"Richmond, Virginia",2
NYC/London ,3
Houston Texas,4
"Major metro area, USA",1
Lexington,7
where you want to be.,4
"Worthington, Ohio",3
"Indianapolis, IN, USA",1
Any Martin Luther St.,5
"Atlanta, Ga. ",1
Tri-State ,2
On a mountain in Eastern PA,1
"Providence, Rhode Island",1
Mid Michigan,2
Up In The Air,2
Mumbai,1
"Milwaukee, WI ",1
"Pasadena, CA",1
"salt lake city, utah",3
Under your bed,1
"IL,USA",2
Islamabad,1
metro #wdc. prev #rva + #atl.,1
"Nashville, Tennessee",1
"Salisbury, MD",1
"Wilmington, NC",1
"Nashua, NH",2
Neverland ,1
"Bloomington, MN",1
Philadelphia Suburbs,2
Manc.,1
"South Shore, MA",7
Wading River,2
Always Traveling,1
"Charlotte, North Carolina",5
"Centerville, Ohio",1
"Westbrook, CT",1
SportsCenter,1
DC / MIA,3
NEXT D00R 2 U  ( Chiangles ),1
"Here, There and Everywhere",4
Where Music meets Visual Media,1
Charleston,1
Miss California United States,3
"ÜT: 38.907675,-76.944183",1
"Jupiter, FL",1
"Portland, ME",3
Virginia Beach,2
"Charlottesville, Virginia",2
"Research Triangle Park, N.C.",2
All Over the Damn Place,1
"Newtown, Pa",2
Beavercreek Ohio,4
"Mission, Kansas",2
This is an AD account. 18+,1
"Lima, OH",3
Queens,3
"Dallas, TX by way of Tampa, FL",2
"Fife, Dunfermline",1
Dublin Raised | Brooklyn Based,2
Downers Grove,2
MiamiHoustonDCHouston,5
"ÜT: 35.029717,-80.9659",1
Anderson,1
"North West, UK",1
Somewhere Creating,1
often underwater,1
Brighton,1
Liverpool,3
"Frisco, Texas",4
"Worcester, UK",2
"San Antonio, Republic of Texas",2
Tampa Bay,2
"Austin, but often Denver",2
New York Tri-State,3
"Cincinnati, Ohio",2
DC to STL ,2
"Newport Beach, CA",2
oklahoma,2
"North Saanich, BC",7
"Brooklyn, NY and all over.",4
"Plano, TX",5
the one and only TEXAS!!!!,6
MiniApple(s),4
"DFW, TX",6
NY (Globetrotter.ExBonaerense),4
usa::fr::uk,10
"Bangkok, Thailand",2
Arkansas,8
Great State of Texas,2
City by the Bay,2
Greater New England Area,4
"indialantic, fl",2
513/lexingtonKY,2
Posted,2
Dallas via NYC via the OC,4
Raleigh NC,2
East Coast     CT.,2
"alexandria, va",2
new england,2
LBK,2
New York/Nicaragua/Miami Beach,2
Southern Suburbia,2
"Plano, Texas",14
Miami ,3
"Euless, Texas",3
"Edmond, Oklahoma",3
on @TheJR,2
"Caribbean, New York and Miami.",2
"Sunnyside, NY",1
Thataway,1
Itatiba/SP,1
erie pa,1
DFW Area,1
 Los Angeles,1
"Denton County, Texas",1
United States of America,3
"DFW Airport, TX",2
JAWJA,2
Deep in the Heart of Texas,1
Castellon & Daytona Beach FL,1
north carolina,1
"Mount Dora, Florida",1
my top secret gaming facility,4
✅,1
Lake Arrowhead,2
"Pirate Isle, Arcadia",2
"ÜT: 26.72488,-80.13666",1
san francisco califorania,5
Largo florida,1
"Toronto, Ontario, Canada",8
"Harrison, New York",3
World Wide.,1
"ÜT: 40.755844,-73.945229",1
"iPhone: 37.621227,-122.386002",6
Fort Myers,6
"Dallas,Tx",3
Nevada,5
"Surrey, UK",3
Newark NJ ,1
Middle earth ,1
"Waco, TX",3
Glasgow via Cork,3
Missouri State University,1
SR2,4
"Phila, PA",1
Somewhere In The World...,2
northern ireland,1
"Waynesville, OHIO",4
Metropolis,2
"Wichita, Kansas",4
Mitten,1
eating curly fries w/ the wife,4
Nashville/Space,5
Crestwood,1
Finn between Detroit & Toledo,5
Syd.,1
New Delhi,1
127.0.0.1,1
Cumbria,1
Tucson,4
Manhattan ,2
"new orleans, la",1
'Straya',3
"Wiltshire, UK",1
North Hollywood,7
The 2nd star to the right ,2
"Moore, OK & Woodway, TX",4
The Great State of TEXAS,4
N to da Y to da C ,2
Living my dreams in motion ,1
MIA || CHI || NYC,1
Founder of #MovieChurch,2
luke.asper@gmail.com,1
"Greenbow, Alabama",3
College Station,4
district of columbia,1
WARNING: Explicit language,2
"iPhone: 40.829401,-73.926223",2
Left hand seat in flightdeck,4
Arlington VA,3
"Cincity, ❤️hio",1
"Orlando, FL ",9
"San Antonio, TX / Boston, MA",1
"Sugarhood, SLC",1
SE USA,3
Belleville,10
"The gym, having a pizza. ",1
Mexico DF,1
AJ's Heart,1
"Washington, DC via Wisconsin",1
Louisville KY ,1
kansas city,1
"Seattle, WA, USA",2
Miami FL,1
"ÜT: 34.658262,-86.479396",1
PDX JFK SFO BDL,4
"Brevard, NC",3
about.me/ajdelgado,1
The Onion Land,1
San Antonio Texas,1
"Austin, Texas area",2
México,1
"Lake County, Illinois",6
Sassy southerner in Chicago,2
"Menomonee Falls, WI, USA",1
☀️SoFla☀️,4
South Wales,2
"Charlotte,NC",1
"NC by day, DC by night....",2
Winterville NC,1
"Hants/Surrey, UK",1
NYC - Miami - Chicago,2
"Dallas, or sometimes Detroit",1
"Michigan, US",6
Somewhere on Tyneside,1
"ÜT: -37.82304,144.961311",1
Chicago!,2
I am from Internet!,1
Lee's Summit,1
Brooklyn to Across the Globe,1
OREGON,2
"Dallas, TX, USA",1
Preferably on a plane,1
"birmingham, usa",2
 NYC,1
I'm everywhere.,2
"Cuenca, Azuay, Ecuador",1
"Gilbert, AZ",5
PNW,2
"Washington, D.C",1
"Dublin, Ireland ",2
The Republic of Texas,4
"Bartlesville, OK",2
Present ,1
"Boston, MA - Scottsdale, AZ",1
CHI/ATX,1
Fort Lauderdale-Dallas-Boston,1
Milky Way:Orion Arm:Earth:DFW,3
"san marcos,ca",3
Turks and Caicos Islands ,2
"ÜT: 41.498967,2.186957",2
Here. But I want to be there.,1
"Hutchinson, KS",2
Vancouver,1
"Guadalajara, México",2
DC/OKC,1
"Dallas, Tx, USA",2
"Austin, TX. ",1
Greater Geelong ,2
MPLS/ATX/BK,1
Hampton Roads,1
"iPhone: 41.890884,-87.631195",1
"Bennington, NE",3
Netherlands,2
Jacksonville Florida,2
N 44°0' 0'' / W 92°25' 0'',1
"21.791267,-72.189674",2
PR/Miami/San Francisco,1
"BPM, WMC, DEMF, BM, ADE, etc",1
"Allen, TX",4
Chile,1
✡ Los Angeles ✡,1
"ohio,panama",1
Chicago Subs,1
Helsinki Airport,1
New York | Hong Kong ,4
Long Island / Albany,1
"ÜT: 37.77581,-122.419796",4
"Innisfail, Alberta",4
Miami Beach,6
"the one, the only.... NYC",1
Bromyard,1
'Merica,2
NYC area,1
milford.,2
"Chicago,IL",5
"Lantana, Tx USA",1
"iPhone: 38.961334,-77.006119",3
"Aspen, Colorado",1
"Amityville, NY",2
"suburban Chicago, IL",2
São Paulo,4
KFAR,1
lydham shropshire uk,4
Could be Anywhere,1
QCA,2
"Buenos Aires, Argentina",3
Where the wind takes me ,1
"Monterrey, Nuevo Leon",1
VB/VA,3
"Santa Monica, CA",3
Everywhere ,2
⋆city of lost angels⋆,2
Saint LOUis,1
Portsmouth UK,1
"Branchburg, NJ",1
"Chesapeake, VA",1
"College Station, Tx",1
"Renton, WA",3
Evansville - LA - NOLA,2
Brantford,2
"ÜT: 42.63352,-83.624194",2
St. Catharines,5
prensa: @talentolatinotv,1
fort worth,1
Brklyn by way of San Franciso,1
"Russell, KS",3
#NAME?,2
Texas Tech University USA,1
"Bentonville, Arkansas",3
Youtube | crackedchinacup,1
Bentonville  Arkansas,3
"Fort Smith, Ark.",2
Brooklyn by way of Chicago,3
Northwest Arkansas,1
cali bound,3
Southern Wisconsin,2
Ando por el mundo,3
Hawaii/Dallas/Tucson/LA,3
"Albuquerque,New Mexico ",3
Saint Maur des Fossés,4
Hertfordshire & London,2
"St. Louis, Mo",2
"Wichita Falls, Texas",1
"Tokyo, Japan",3
"Napa, CA",1
LA via NY via SP,1
Indianapolis ,2
A tiny place in the universe,1
"Glastonbury, CT",1
"chapel hill, nc",1
Bexleyheath,1
Buenos Aires,1
"Vienna, Austria",1
"Rockville, MD",1
texas,1
Illinos,1
Glasgow / Scotland,1
"Lafayette, LA",2
world,1
"Kansas City, MO USA",3
Londres,2
"ÜT: 47.683801,-122.327443",1
Pride Rock ,1
"41.301208,-81.750618",2
"Natchitoches, LA",3
"dallas, TX",2
"Charlotte, NC | Köln, NRW",4
Vancouver - Ann Arbor,1
"Glendale, Arizona",1
"ÜT: 40.881241,-73.107717",6
piffaca,1
"Boston, MA USA",1
Sloop,1
"Midlothian, TX
",1
"Merion, PA",1
"Lost boys, Neverland",1
ATX ,2
Cathedral Heights,2
Guatemala.,3
ig; tannersayre,1
"Bloomington, IL",3
"Kingsville, TX",2
Dallas | Los Angeles,2
"st paul, minnesota",1
Buda Texas,4
"Toronto,Montreal,L.A,NY",1
Leon. De los aldamas,1
Wherevers not gonna get me hit,1
Montgomery Al,1
Instagram: @rad_mika,1
tejas,1
West Palm Beach,2
"Salt Lake City, USA",1
"Jacksonville Beach, Florida ",3
"Portland, Orygun",5
Windy City,1
Omaha ,1
"Carlsbad, So Cal from Hawaii",1
Windermere (seattle),1
"Tampa, Fl",3
"Chicago, Mumbai",1
Ithaca til May 2015,1
"midlothian, tx",1
SNY in NYC.,2
Mind Tripping,1
✨,1
NYCATL,12
Santo Domingo ,3
"Kitchen, office or on the road",3
"Jackson County, Oregon",1
"Fort Myers, Florida",2
"Behind you, look again.",2
The Ted Williams Tour,1
"Frisco, TX",1
NYC/TX,1
Abbotsford,1
"Dallas Area, Texas",1
L-Town,2
"waco, texas",2
Tem conexao? To aqui entao! ,1
Cambridge MA,1
"Urbana, IL",2
"New Orleans, La",1
"Rossford, Ohio",5
60093,1
"Springfield, Illinois",6
"Redwood City, CA",1
"Weston, CT USA",1
Pekin,28
'Greatness has no limits',1
North of 146th,2
Far From Home,2
Ciudad Juárez MX. [CJS/MMCS],1
O.K.C.,3
Brasil,1
Seat 4B,1
The Greatest City in The World,1
southeast,1
KY,9
"ÜT: 38.830712,-77.110175",1
Lake Norman NC,1
Corona Del Mar,2
The Hague,1
Pocos de Caldas,6
"Canterbury, Kent",1
"Mexicali, B.C.",1
Atlanta Ga && Traveling,1
"West Covina, CA",1
Rive-sud de Montréal,2
"Ann Arbor, MI",1
everywhere,1
"Brookfield, WI",2
saint paul,1
U.S.A.,1
hertz's couch ,2
-тнαт νσι¢є ιиѕι∂є уσυя нєα∂,1
"Worldwide, based in Dallas, TX",1
Somewhere East,1
"Naperville, IL ",3
SCL,1
"Ocean Ridge, FL",3
"Tucson, Arizona",2
★ Chicago'ish ★,1
in your fav mags & blogs!!!,1
Reading MA,1
Jeddah-Karachi X NYC,2
Nashville TN,2
"Nicosia, Cyprus",1
"dallas, tx",1
"Manhattan, Kansas",1
Cool suburb N. of Dallas,2
"San Marcos, Texas",1
"Great Abington, Cambridge, GB",2
Teh internets,1
"Cambridge, Massachusetts",1
"Champaign/Urbana, IL",1
"Tiffin, Ohio",1
The City of Big Shoulders,4
Trying to go everywhere!,1
"ÜT: 29.717516,-95.505488",1
970 Colorado,2
In the kitchen,1
UK / Canada / etc,1
"PA, NY & HI",5
NEW YORK CITY,1
Capitol Hill D.C. ,1
"Webster Groves, MO",1
"Santa Maria, Califoria",1
"Tyler, Texas",1
"Brookings, SD",1
"Maidstone, UK",1
"Long Island, New York ",1
NEONgarden,1
"Pilot Point, Republic of Texas",1
Everett,1
"Chelmsford, MA",1
"Pueblo, CO",1
"Columbus, OH, USA",1
"Milwaukee County, Wisconsin",1
"Nigeria,lagos",1
